Site_number,Approx,Chronicle,H Error,Rate,Execution Time,Number of Lines,Satured Zone Area,Vulnerability Sum,Vulnerability Rate,Global Area of site (in cells),Saturation Rate
6,1,0,0.091679416907381,0.05,3353,239,670,521.939398588959,0.024208691956816,21560,0.031076066790353
6,1,0,0.122817866671265,0.1,2519,122,670,521.939398588959,0.024208691956816,21560,0.031076066790353
6,1,0,0.182672243365906,0.2,1549,62,670,521.939398588959,0.024208691956816,21560,0.031076066790353
6,1,0,0.211910259696466,0.25,1281,50,670,521.939398588959,0.024208691956816,21560,0.031076066790353
6,1,0,0.232005785632378,0.4,914,32,670,521.939398588959,0.024208691956816,21560,0.031076066790353
6,1,0,0.270921686490502,0.5,735,26,670,521.939398588959,0.024208691956816,21560,0.031076066790353
6,1,0,0.267990153117209,0.8,391,17,670,521.939398588959,0.024208691956816,21560,0.031076066790353
6,1,0,0.299213256404779,1,421,14,670,521.939398588959,0.024208691956816,21560,0.031076066790353
6,1,0,0.283168300220948,2,278,8,670,521.939398588959,0.024208691956816,21560,0.031076066790353
6,1,1,0,0,43608,15341,859,680.060557124828,0.031542697454769,21560,0.039842300556586
6,1,1,0.010758215162707,0.0002,17461,6597,859,680.060557124828,0.031542697454769,21560,0.039842300556586
6,1,1,0.128861249742717,0.05,4842,239,859,680.060557124828,0.031542697454769,21560,0.039842300556586
6,1,1,0.168521155325576,0.1,3626,122,859,680.060557124828,0.031542697454769,21560,0.039842300556586
6,1,1,0.225645306941702,0.2,2821,62,859,680.060557124828,0.031542697454769,21560,0.039842300556586
6,1,1,0.276294190583668,0.25,1864,50,859,680.060557124828,0.031542697454769,21560,0.039842300556586
6,1,1,0.343973930223344,0.4,1430,32,859,680.060557124828,0.031542697454769,21560,0.039842300556586
6,1,1,0.397456485203865,0.5,946,26,859,680.060557124828,0.031542697454769,21560,0.039842300556586
6,1,1,0.394441227567635,0.8,700,17,859,680.060557124828,0.031542697454769,21560,0.039842300556586
6,1,1,0.408986088313656,1,603,14,859,680.060557124828,0.031542697454769,21560,0.039842300556586
6,1,1,0.447661947133902,2,241,8,859,680.060557124828,0.031542697454769,21560,0.039842300556586
7,0,0,0,1,21972,15341,2064,2024.96211597323,0.144002426111025,14062,0.146778552126298
7,0,0,0.000789673246769,2,12975,7671,2064,2024.96211597323,0.144002426111025,14062,0.146778552126298
7,0,0,0.004060607859222,7,5650,2193,2064,2024.96211597323,0.144002426111025,14062,0.146778552126298
7,0,0,0.011274340593467,30,3524,513,2064,2024.96211597323,0.144002426111025,14062,0.146778552126298
7,0,0,0.029907004367977,90,2357,172,2064,2024.96211597323,0.144002426111025,14062,0.146778552126298
7,0,0,0.066772001812395,182,1149,86,2064,2024.96211597323,0.144002426111025,14062,0.146778552126298
7,0,0,0.080720207675696,365,614,44,2064,2024.96211597323,0.144002426111025,14062,0.146778552126298
7,0,0,0.098252604828568,730,312,23,2064,2024.96211597323,0.144002426111025,14062,0.146778552126298
7,0,0,0.10765731064739,3652,78,6,2064,2024.96211597323,0.144002426111025,14062,0.146778552126298
7,0,1,0,1,17170,15341,2096,2057.64894891953,0.146326905768705,14062,0.149054188593372
7,0,1,0.001289497740866,2,10874,7671,2096,2057.64894891953,0.146326905768705,14062,0.149054188593372
7,0,1,0.006846390465739,7,5369,2193,2096,2057.64894891953,0.146326905768705,14062,0.149054188593372
7,0,1,0.019675940696162,30,3895,513,2096,2057.64894891953,0.146326905768705,14062,0.149054188593372
7,0,1,0.057204262834148,90,2591,172,2096,2057.64894891953,0.146326905768705,14062,0.149054188593372
7,0,1,0.126709904052674,182,1034,86,2096,2057.64894891953,0.146326905768705,14062,0.149054188593372
7,0,1,0.138246011823363,365,559,44,2096,2057.64894891953,0.146326905768705,14062,0.149054188593372
7,0,1,0.152374931009924,730,244,23,2096,2057.64894891953,0.146326905768705,14062,0.149054188593372
7,0,1,0.161329022223095,3652,65,6,2096,2057.64894891953,0.146326905768705,14062,0.149054188593372
7,1,0,0,0,21972,15341,2064,2024.96211597323,0.144002426111025,14062,0.146778552126298
7,1,0,0.001997083289128,0.0002,8749,6597,2064,2024.96211597323,0.144002426111025,14062,0.146778552126298
7,1,0,0.034406436837714,0.05,1432,239,2064,2024.96211597323,0.144002426111025,14062,0.146778552126298
7,1,0,0.050154122673819,0.1,1095,122,2064,2024.96211597323,0.144002426111025,14062,0.146778552126298
7,1,0,0.069899643411718,0.2,875,62,2064,2024.96211597323,0.144002426111025,14062,0.146778552126298
7,1,0,0.077094214358971,0.25,621,50,2064,2024.96211597323,0.144002426111025,14062,0.146778552126298
7,1,0,0.088128539159378,0.4,432,32,2064,2024.96211597323,0.144002426111025,14062,0.146778552126298
7,1,0,0.09629125135915,0.5,318,26,2064,2024.96211597323,0.144002426111025,14062,0.146778552126298
7,1,0,0.101929945370956,0.8,234,17,2064,2024.96211597323,0.144002426111025,14062,0.146778552126298
7,1,0,0.103619901896126,1,216,14,2064,2024.96211597323,0.144002426111025,14062,0.146778552126298
7,1,0,0.104669038665718,2,126,8,2064,2024.96211597323,0.144002426111025,14062,0.146778552126298
7,1,1,0,0,17170,15341,2096,2057.64894891953,0.146326905768705,14062,0.149054188593372
7,1,1,0.00364498160673,0.0002,9598,6597,2096,2057.64894891953,0.146326905768705,14062,0.149054188593372
7,1,1,0.05224998057038,0.05,2225,239,2096,2057.64894891953,0.146326905768705,14062,0.149054188593372
7,1,1,0.067619106307721,0.1,1580,122,2096,2057.64894891953,0.146326905768705,14062,0.149054188593372
7,1,1,0.0953387898596,0.2,1518,62,2096,2057.64894891953,0.146326905768705,14062,0.149054188593372
7,1,1,0.106232082075345,0.25,1256,50,2096,2057.64894891953,0.146326905768705,14062,0.149054188593372
7,1,1,0.123136663672883,0.4,758,32,2096,2057.64894891953,0.146326905768705,14062,0.149054188593372
7,1,1,0.135696871887511,0.5,455,26,2096,2057.64894891953,0.146326905768705,14062,0.149054188593372
7,1,1,0.143007262042604,0.8,358,17,2096,2057.64894891953,0.146326905768705,14062,0.149054188593372
7,1,1,0.145464979457022,1,260,14,2096,2057.64894891953,0.146326905768705,14062,0.149054188593372
