Site;Rate;H Error;Satured Zone Area;Vulnerability Sum;Vulnerability Rate;Global Area of site (in cells)
13.0;550.0;0.087027515571261;344;348.4827992023804;0.0703153347865981;4956
13.0;640.0;0.0849612236094247;344;348.4827992023804;0.0703153347865981;4956
13.0;730.0;0.0884871835852028;344;348.4827992023804;0.0703153347865981;4956
13.0;1000.0;0.0883850470404615;344;348.4827992023804;0.0703153347865981;4956
13.0;1500.0;0.0939969184671416;344;348.4827992023804;0.0703153347865981;4956
13.0;2000.0;0.0970225067681391;344;348.4827992023804;0.0703153347865981;4956
13.0;2250.0;0.0950715610308494;344;348.4827992023804;0.0703153347865981;4956
13.0;3000.0;0.0998605746589843;344;348.4827992023804;0.0703153347865981;4956
13.0;3182.0;0.100627638858427;344;348.4827992023804;0.0703153347865981;4956
13.0;3652.0;0.0993700430118872;344;348.4827992023804;0.0703153347865981;4956
14.0;1.0;0.0;1198;1212.8957329081554;0.0319006794378936;38021
14.0;2.0;0.0025659666410965;1198;1212.8957329081554;0.0319006794378936;38021
14.0;7.0;0.0103738358831147;1198;1212.8957329081554;0.0319006794378936;38021
14.0;15.0;0.0168416848858304;1198;1212.8957329081554;0.0319006794378936;38021
14.0;21.0;0.0202724122122124;1198;1212.8957329081554;0.0319006794378936;38021
14.0;30.0;0.0275341640025388;1198;1212.8957329081554;0.0319006794378936;38021
14.0;45.0;0.0388811593027748;1198;1212.8957329081554;0.0319006794378936;38021
14.0;50.0;0.0415347739756035;1198;1212.8957329081554;0.0319006794378936;38021
14.0;60.0;0.0489192562488914;1198;1212.8957329081554;0.0319006794378936;38021
14.0;75.0;0.0546117941971823;1198;1212.8957329081554;0.0319006794378936;38021
14.0;90.0;0.0669928669115922;1198;1212.8957329081554;0.0319006794378936;38021
14.0;100.0;0.068680108288561;1198;1212.8957329081554;0.0319006794378936;38021
14.0;125.0;0.0833140874338638;1198;1212.8957329081554;0.0319006794378936;38021
14.0;150.0;0.0918619289379249;1198;1212.8957329081554;0.0319006794378936;38021
14.0;182.0;0.1215173863507666;1198;1212.8957329081554;0.0319006794378936;38021
14.0;200.0;0.1069115659894321;1198;1212.8957329081554;0.0319006794378936;38021
14.0;250.0;0.1365794657922444;1198;1212.8957329081554;0.0319006794378936;38021
14.0;300.0;0.1450425063164491;1198;1212.8957329081554;0.0319006794378936;38021
14.0;330.0;0.1420255296298411;1198;1212.8957329081554;0.0319006794378936;38021
14.0;365.0;0.1425932016706186;1198;1212.8957329081554;0.0319006794378936;38021
14.0;550.0;0.1779987806038242;1198;1212.8957329081554;0.0319006794378936;38021
14.0;640.0;0.1695171431140686;1198;1212.8957329081554;0.0319006794378936;38021
14.0;730.0;0.1853542925340359;1198;1212.8957329081554;0.0319006794378936;38021
14.0;1000.0;0.1822949300554637;1198;1212.8957329081554;0.0319006794378936;38021
14.0;1500.0;0.2052838878657032;1198;1212.8957329081554;0.0319006794378936;38021
14.0;2000.0;0.2389230922334167;1198;1212.8957329081554;0.0319006794378936;38021
14.0;2250.0;0.2532539698891539;1198;1212.8957329081554;0.0319006794378936;38021
14.0;3000.0;0.282433542329905;1198;1212.8957329081554;0.0319006794378936;38021
14.0;3182.0;0.2794139713109449;1198;1212.8957329081554;0.0319006794378936;38021
14.0;3652.0;0.2711404842844023;1198;1212.8957329081554;0.0319006794378936;38021
15.0;1.0;0.0;4541;4553.360755593164;0.2996815029349193;15194
15.0;2.0;0.006634684505364;4541;4553.360755593164;0.2996815029349193;15194
15.0;7.0;0.0311773625577056;4541;4553.360755593164;0.2996815029349193;15194
15.0;15.0;0.0513970717384473;4541;4553.360755593164;0.2996815029349193;15194
15.0;21.0;0.06022038573683;4541;4553.360755593164;0.2996815029349193;15194
15.0;30.0;0.0825331753189077;4541;4553.360755593164;0.2996815029349193;15194
15.0;45.0;0.1235389878871018;4541;4553.360755593164;0.2996815029349193;15194
15.0;50.0;0.1311647698776999;4541;4553.360755593164;0.2996815029349193;15194
15.0;60.0;0.1600636107227578;4541;4553.360755593164;0.2996815029349193;15194
15.0;75.0;0.180461623614826;4541;4553.360755593164;0.2996815029349193;15194
15.0;90.0;0.2366167660152137;4541;4553.360755593164;0.2996815029349193;15194
15.0;100.0;0.2337417479616417;4541;4553.360755593164;0.2996815029349193;15194
15.0;125.0;0.3297969187112146;4541;4553.360755593164;0.2996815029349193;15194
15.0;150.0;0.3410098277260219;4541;4553.360755593164;0.2996815029349193;15194
15.0;182.0;0.4957286907657203;4541;4553.360755593164;0.2996815029349193;15194
15.0;200.0;0.4355509333067073;4541;4553.360755593164;0.2996815029349193;15194
15.0;250.0;0.5977122408648733;4541;4553.360755593164;0.2996815029349193;15194
15.0;300.0;0.6190038122194393;4541;4553.360755593164;0.2996815029349193;15194
15.0;330.0;0.5616513171258777;4541;4553.360755593164;0.2996815029349193;15194
15.0;365.0;0.5986284345185184;4541;4553.360755593164;0.2996815029349193;15194
15.0;550.0;0.7031895747763489;4541;4553.360755593164;0.2996815029349193;15194
15.0;640.0;0.7198615826971494;4541;4553.360755593164;0.2996815029349193;15194
15.0;730.0;0.7549130005430196;4541;4553.360755593164;0.2996815029349193;15194
15.0;1000.0;0.774655160833859;4541;4553.360755593164;0.2996815029349193;15194
15.0;1500.0;0.8513748100498971;4541;4553.360755593164;0.2996815029349193;15194
15.0;2000.0;0.8974438894037763;4541;4553.360755593164;0.2996815029349193;15194
15.0;2250.0;1.0169330914112529;4541;4553.360755593164;0.2996815029349193;15194
15.0;3000.0;1.0472826276909657;4541;4553.360755593164;0.2996815029349193;15194
15.0;3182.0;1.0833459578065228;4541;4553.360755593164;0.2996815029349193;15194
15.0;3652.0;1.1253996205961938;4541;4553.360755593164;0.2996815029349193;15194
